company,title,travelKind,travelLabel,qualifier,min,max,remoteSource,remoteEvidence,travelEvidence,notes,listingCount,sourceUrl,jobUrl
"Moss","Solar Engineering Lead - Preliminary Design","quantified","Up to 20–25%","ceiling","","25","description","eded to support project execution, up to 20-25% travel - if remote. Work hard, be nice, and have fun! JOB TITLE: ASSOC IATE , SME, ENGINEERING SERVICES (P RELIMINARY DESIGN) JOB LOCATION: FORT LAUDERDALE, FL , HYBRID, OR REMOTE CLASSIFICATI","up to 20-25% travel - if remote","","1","https://www.adzuna.com/details/5620625349","https://www.solarroles.com/jobs/adzuna-5620625349"
"FindTalent","Solar Project Manager","unquantified","Regular site travel","","","","description","n, closeout, and client handoff. While this position offers remote flexibility, regular travel to active project sites is required. The ideal candidate is a strong leader with expertise in electrical construction, contract management, budge","regular travel to active project sites is required","","1","https://www.adzuna.com/details/5655765763","https://www.solarroles.com/jobs/adzuna-5655765763"
"EVS","Technical Civil Solar Project Manager","not_stated","No travel or attendance requirement identified","","","","description","SOLAR PROJECT MANAGER Location: Eden Prairie, MN | Hybrid | Remote Schedule: Full-Time Salary: $100,000 – $140,000 (based on experience) EVS is seeking a Technical Civil Solar Project Manager to support the planning, coordination, and execu","","","1","https://www.adzuna.com/details/5674837370","https://www.solarroles.com/jobs/adzuna-5674837370"
"J.Riley Recruitment","Project Manager - Solar & Renewable Energy","unquantified","Regular site travel","","","","description","ects across the country. The role offers the flexibility of remote work combined with field engagement, exposure to utility-scale solar projects, and the ability to lead impactful work in a growing sector. About J.Riley Recruitment J.Riley","Travel to project sites regularly","","1","https://www.adzuna.com/details/5686913212","https://www.solarroles.com/jobs/adzuna-5686913212"
"Intertek","PV Solar Engineer","conflicting","Over 80%; elsewhere up to 80%","conflicting","","","description","Description PV Solar Engineer - Remote/Travel Based Position Intertek's Clean Energy Associates (CEA) serves as a trusted partner to some of the world’s leading solar project developers, owners and financiers, pr","This position requires over 80% of travel.","The same description says both over 80% and up to 80%. Excluded from consistent percentage comparisons.","1","https://www.adzuna.com/details/5699944770","https://www.solarroles.com/jobs/adzuna-5699944770"
"Cypress Creek Renewables","QA/QC Solar Technician","quantified","90%","stated","90","90","description","nd corrective maintenance on solar PV systems. This role is remote, ideally based in North Carolina, with extensive travel required to job sites nationwide. Essential Duties and Responsibilities: Conduct on-site inspections and evaluations","extensive travel (90% required)","","1","https://www.adzuna.com/details/5711376023","https://www.solarroles.com/jobs/adzuna-5711376023"
"US Tech Solutions","BESS Engineer","quantified","25% + additional office visits","stated_plus","25","","description","e the energy storage field. Juno Beach (preferred); Open to remote only for strong candidates willing to include additional travel % dedicated to in office visits. Duties & Responsibilities Support design phase and engineer major components","Travel 25% of the time for project specific duties.","","1","https://www.adzuna.com/details/5716327612","https://www.solarroles.com/jobs/adzuna-5716327612"
"Green House","Solar Sales Representative","field","Field-based; frequency unspecified","","","","description","(1099) – Unlimited Earning Potential! Location: NJ/NY/PA – Remote/Field-Based | Compensation: Commission-Only ($150K for Top Performers) Green House Solar is growing – and we’re looking for superstar sales reps ready to build a high-income","Remote/Field-Based","","1","https://www.adzuna.com/details/5726560254","https://www.solarroles.com/jobs/adzuna-5726560254"
"Origis Energy","Solar EPC Project Manager or Senior Project Manager - Grid Power","quantified","Up to 40%","ceiling","","40","description","ke timely and sound decisions Location Austin TX; Miami FL; remote considered for the right candidate Travel Up to 40% travel as needed Job Level Manager or Senior Project Manager depending on candidate - no direct reports Origis Energy is","Up to 40% travel as needed","","1","https://www.adzuna.com/details/5787830500","https://www.solarroles.com/jobs/adzuna-5787830500"
"Birch Creek Energy","Project Manager (utility-scale solar development)","unquantified","Occasional travel may be required","","","","description","main offices are located in St. Louis (HQ) and Los Angeles. Remote-work candidates are welcome. Summary Under the direction of the Vice President of Execution, the Project Manager is responsible for managing all aspects and phases of multip","Occasional travel may be required for site visits","","1","https://www.adzuna.com/details/5792169714","https://www.solarroles.com/jobs/adzuna-5792169714"
